key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
custom.data.type.html-editor.detail.window.open-button|text,Den Inhalt in einem neuen Fenster öffnen,FALSE,Open the content in a new window,FALSE,Open the content in a new window,FALSE,Avaa sisältö uudessa ikkunassa,FALSE,Öppna innehållet i ett nytt fönster,FALSE,Ouvrir le contenu dans une nouvelle fenêtre,FALSE,Open the content in a new window,FALSE,Abrir el contenido en una nueva ventana,FALSE
custom.data.type.html-editor.detail.window.title,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE
custom.data.type.html-editor.editor.editing-placeholder,"Der HTML-Editor ist in einem anderen Fenster geöffnet, schließen Sie es, um die Änderungen zu sehen.",FALSE,"The HTML Editor is open in a different window, close it to see the changes.",FALSE,"The HTML Editor is open in a different window, close it to see the changes.",FALSE,HTML-editori on auki toisessa ikkunassa. Sulje se nähdäksesi muutokset.,FALSE,"HTML-redigeraren är öppen i ett annat fönster, stäng det för att se ändringarna.",FALSE,"L'éditeur HTML est ouvert dans une autre fenêtre, veuillez fermer pour voir les modifications.",FALSE,"The HTML Editor is open in a different window, close it to see the changes.",FALSE,"El editor HTML está abierto en una ventana diferente, ciérrala para ver los cambios.",FALSE
custom.data.type.html-editor.editor.window.alert.is-open,"Der HTML-Editor ist in einem anderen Fenster geöffnet, schließen Sie es, um die Änderungen zu speichern.",FALSE,"The HTML Editor is open in a different window, close it to save the changes.",FALSE,"The HTML Editor is open in a different window, close it to save the changes.",FALSE,HTML-editori on auki toisessa ikkunassa. Sulje se nähdäksesi muutokset.,FALSE,"HTML-redigeraren är öppen i ett annat fönster, stäng det för att se ändringarna.",FALSE,"L'éditeur HTML est ouvert dans une autre fenêtre, veuillez fermer pour voir les modifications.",FALSE,"The HTML Editor is open in a different window, close it to save the changes.",FALSE,"El editor HTML está abierto en una ventana diferente, ciérrala para guardar los cambios.",FALSE
custom.data.type.html-editor.editor.window.button.apply,Übernehmen,FALSE,Apply,FALSE,Apply,FALSE,Käytä,FALSE,Tillämpa,FALSE,Appliquer,FALSE,Apply,FALSE,Aplicar,FALSE
custom.data.type.html-editor.editor.window.button.cancel,Abbrechen,FALSE,Cancel,FALSE,Cancel,FALSE,Peru,FALSE,Avbryt,FALSE,Annuler,FALSE,Cancel,FALSE,Cancelar,FALSE
custom.data.type.html-editor.editor.window.cancel-confirmation,"Sind Sie sicher, dass Sie alle Änderungen verwerfen wollen?",FALSE,Are you sure you want to discard all the changes?,FALSE,Are you sure you want to discard all the changes?,FALSE,Haluatko varmasti hylätä kaikki muutokset?,FALSE,Är du säker på att du vill ignorera alla ändringar?,FALSE,Êtes-vous certain de vouloir annuler toutes les modifications ?,FALSE,Are you sure you want to discard all the changes?,FALSE,¿Estás seguro de que quieres descartar todos los cambios?,FALSE
custom.data.type.html-editor.editor.window.open-button|text,Öffnen Sie den HTML-Editor in einem neuen Fenster,FALSE,Open the HTML Editor in a new window,FALSE,Open the HTML Editor in a new window,FALSE,Avaa HTML-editori uudessa ikkunassa,FALSE,Öppna HTML-redigeraren i ett nytt fönster,FALSE,Ouvrez l'éditeur HTML dans une nouvelle fenêtre,FALSE,Open the HTML Editor in a new window,FALSE,Abrir el editor HTML en una nueva ventana,FALSE
custom.data.type.html-editor.editor.window.title,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE,%(standard)s - %(fieldName)s,FALSE
custom.data.type.html-editor.name,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editori,FALSE,HTML redigerare,FALSE,Éditeur HTML,FALSE,HTML Editor,FALSE,HTML Editor,FALSE
"server.config.group.system.plugin_custom-data-type-html-editor.introduction
",Einstellungen für das HTML Editor Plugin,FALSE,Settings for the HTML editor plugin,FALSE,Settings for the HTML editor plugin,FALSE,HTML Editori -laajennuksen asetukset,FALSE,Inställningar för HTML redigerare plugin,FALSE,Paramètres du plugin de l'éditeur HTML,FALSE,Settings for the HTML editor plugin,FALSE,Settings for the HTML editor plugin,FALSE
server.config.group.system.plugin_custom-data-type-html-editor.title,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editori,FALSE,HTML redigerare,FALSE,Éditeur HTML,FALSE,HTML Editor,FALSE,HTML Editor,FALSE
server.config.name.system.html_editor,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editor,FALSE,HTML Editori,FALSE,HTML redigerare,FALSE,Éditeur HTML,FALSE,HTML Editor,FALSE,HTML Editor,FALSE
server.config.parameter.system.html_editor.custom_css_url.label,Custom CSS URL,FALSE,Custom CSS URL,FALSE,Custom CSS URL,FALSE,Mukautettu CSS URL,FALSE,Anpassad CSS URL,FALSE,URL CSS personnalisée,FALSE,Custom CSS URL,FALSE,Custom CSS URL,FALSE
